"@title","Bahasa Indonesia"
"#01566","In today's special feature, we're going to focus on...popularity with fans!<br>   Have you noticed that sometimes teams that perform equally can have a massively different numbers of fans? Why is that, do you think? Our reporters worked tirelessly to find the answer and here it is: it's all about appeal!<br>   Appealing drivers and mechanics make a team stand out from the crowd, earning it more fans. Sponsors love them too, for all the extra hype and attention they generate!"
"#01567","Today we were fortunate enough to get the rare opportunity to interview one of the leading racing teams in the world. We asked them what is the most important to them.<br>   ""It's our fans. We wouldn't be where we are without them. It's amazing when it's your team that all the spectators at a race are cheering for. That's why we work hard to get as many fans as possible. They even sometimes send us very valuable gifts, for which we are so grateful.""<br>  It may be worth entering a race over and over again just to get more fans!"
"#01568","Team Crocus"
"#01569","Rush Racers"
"#01570","Crimson Bulls"
"#01571","Circuit Cruisers"
"#01572","Turbo Turbots"
"#01573","Tireless Wheels"
"#01574","Mc Laura"
"#01575","Doozy Drifters"
"#01576","Crazy Comets"
"#01577","Overdrive Motors"
"#01578","Radial Trs"
"#01579","Stable performance."
"#01580","Bias Tires"
"#01581","Great cushioning."
"#01582","All-Season Tires"
"#01583","Good for snow too."
"#01584","Solid Tires"
"#01585","Puncture-resistant tires."
"#01586","Sports Trs"
"#01587","Less grooves for better grip."
"#01588","Slick Trs"
"#01589","Smooth tires for circuit racing."
"#01590","Studless Tires"
"#01591","Studless tires for icy roads."
"#01592","Spiked Tires"
"#01593","Great grip even on ice."
"#01594","Off-road Tires"
"#01595","Makes off-road driving easier."
"#01596","Knobby Trs"
"#01597","Good traction on soft ground."
"#01598","Wets"
"#01599","Great water displacement."
"#01600","X-treme Tires"
"#01601","Good for torrential rain."
"#01602","Inline Engine"
"#01603","Standard straight engine."
"#01604","V8 Engine"
"#01605","High speed output."
"#01606","Diesel"
"#01607","High compression, powerful engine."
"#01608","Rotary Engine"
"#01609","The crankcase and cylinders rotate."
"#01610","Hybrid"
"#01611","Switches to electric at low speeds."
"#01612","Gas Turbine"
"#01613","High-output engine used in aircraft."
"#01614","Standard Gear"
"#01615","Smooth gear shifting."
"#01616","Non-Sync Gear"
"#01617","Fast gear shifting."
"#01618","Spd Gear"
"#01619","Built for speed."
"#01620","Pwr Gear"
"#01621","Built for torque."
"#01622","Hi Spd Gear"
"#01623","Built for ultra speed."
"#01624","Hi Pwr Gear"
"#01625","Built for ultra power."
"#01626","Turbochrgr"
"#01627","High accel. at high speeds."
"#01628","Mega Turbo"
"#01629","Super accel. at high speeds."
"#01630","Superchrgr"
"#01631","High accel. at low speeds."
"#01632","Twin Charger"
"#01633","Turbo + supercharger in one."
"#01634","=#00088"
"#01635","Higher downforce & air resist."
"#01636","3D Wing"
"#01637","Reduces air resistance."
"#01638","Gurney Flap"
"#01639","The flap increases downforce."
"#01640","Active Wing"
"#01641","Lower air resist. when overtaking."
"#01642","Standard ECU"
"#01643","Electronic driving assist."
"#01644","Sports ECU"
"#01645","Optimized for circuit racing."
"#01646","Hi-Rev ECU"
"#01647","Modded to output more power."
"#01648","Rally ECU"
"#01649","Optimized for rally racing."
"#01650","ECO ECU"
"#01651","Increases fuel efficiency."
"#01652","Musical ECU"
"#01653","Sure to attract attention."
"#01654","=#01152"
"#01655","Enables sudden deceleration."
"#01656","Disc Brakes"
"#01657","Efficient and reliable."
"#01658","Double Disc B."
"#01659","Double discs for fast braking."
"#01660","Crbn Brakes"
"#01661","Powerful, reliable carbon brakes."
"#01662","Strut Susp."
"#01663","A good suspension."
"#01664","Double Wishbone"
"#01665","A very good suspension."
"#01666","Multilink Susp."
"#01667","Rigid Axle"
"#01668","Decent off-road suspension."
"#01669","Trailing Arm"
"#01670","Optimized for off-road racing."
"#01671","Active Susp."
"#01672","Regulates downforce."
"#01673","Nitro Kit"
"#01674","Injects nitro for speed boost."
"#01675","Wet Nitro"
"#01676","Mixes nitrogen with fuel."
"#01677","Direct Nitro"
"#01678","Injects nitro into engine cylinders."
"#01679","Aero Body"
"#01680","Ups durability and downforce."
"#01681","Emblem"
"#01682","Increases ad effectiveness."
"#01683","Repair Kit"
"#01684","Makes repairs finish quickly."
"#01685","Tr Chains"
"#01686","Easier to drive on icy roads."
"#01687","Driving Recorder"
"#01688","Easier to get experience."
"#01689","Hyper Oil"
"#01690","High quality engine/gear oil."
"#01691","Car Camera"
"#01692","Increases analysis."
"#01693","Sports Muffler"
"#01694","Better efficiency, higher speed."
"#01695","Roll Cage"
"#01696","Improves rigidity."
"#01697","Nitro Bottle"
"#01698","Ups nitro capacity."
"#01699","Coating"
"#01700","Ups durability."
"#01701","=#01140"
"#01702","Engine"
"#01703","Gear"
"#01704","=#01158"
"#01705","Supercharger"
"#01706","=#00088"
"#01707","Chassis"
"#01708","=#01152"
"#01709","=#01170"
"#01710","=#01059"
"#01711","Other"
"#01712","Fine <0>"
"#01713","Eco <0>"
"#01714","Smart <0>"
"#01715","Deluxe <0>"
"#01716","Tutoring"
"#01717","Accounting"
"#01718","Research"
"#01719","Cooking"
"#01720","Musicality"
"#01721","Looting"
"#01722","Repairs"
"#01723","Tire Perk"
"#01724","Ups tire performance"
"#01725","EXP Perk"
"#01726","=#01725"
"#01727","Turbo Perk"
"#01728","Ups turbo performance"
"#01729","Prod. Perk"
"#01730","=#01729"
"#01731","Rank Perk"
"#01732","=#01731"
"#01733","Wing Perk"
"#01734","Ups wing performance"
"#01735","Engine Perk"
"#01736","Ups engine performance"
"#01737","Accel. Perk"
"#01738","Higher acceleration"
"#01739","Speed Perk"
"#01740","Higher speed"
"#01741","Handling Perk"
"#01742","Improves handling"
"#01743","Boost Perk"
"#01744","Better boost effect"
"#01745","Downforce Perk"
"#01746","Ups downforce"
"#01747","Dev. Perk"
"#01748","Boosts dev. capacity"
"#01749","Spotlight"
"#01750","Easier to get fans"
"#01751","=#01158"
"#01752","Boosts driver's EXP"
"#01753","Thinker"
"#01754","Get more Research Data from races"
"#01755","Fortunate"
"#01756","Get more funds"
"#01757","Simple"
"#01758","Simple model, easy to repair"
"#01759","Small Size"
"#01760","Parts -1, Accel./Handling UP"
"#01761","Large Size"
"#01762","Parts +1, Accel./Handling DOWN"
"#01763","Standard"
"#01764","No special effects"
"#01765","=#01702"
"#01766","Boosts installed engine."
"#01767","=#01140"
"#01768","Boosts installed tires."
"#01769","=#00088"
"#01770","Boosts installed wing."
"#01771","Booster"
"#01772","Nitro/aura effect UP"
"#01773","Clunker"
"#01774","Low durability ups performance"
"#01775","Aerodynamic"
"#01776","Ups Accel. at high speed"
"#01777","Low Torque"
"#01778","Ups Accel. at low speed"
"#01779","Fusion Bonus"
"#01780","Effect UP when fusing"
"#01781","Bully"
"#01782","Collisions knock back cars"
"#01783","Priority Lane"
"#01784","Cars make space during nitro boost"
"#01785","Rocket Start"
"#01786","Superfast Accel. at start"
"#01787","Jet"
"#01788","Can fly when using boost"
"#01789","G-Effect"
"#01790","Ups Accel./Handling at high speed"
"#01791","Aero Dash"
"#01792","Extra Accel. at high speed"
"#01793","Take-Off"
"#01794","Flies after reaching sufficient speed"
"#01795","GT Mastery"
"#01796","GT car dev./driving UP"
"#01797","Sport Mastery"
"#01798","Sport car dev./driving UP"
"#01799","Racing Mastery"
"#01800","Racing car dev./driving UP"
"#01801","Rally Mastery"
"#01802","Rally car dev./driving UP"
"#01803","Speed Addict"
"#01804","Can reach higher speed"
"#01805","Gear Shifting"
"#01806","Accelerates faster"
"#01807","Steering Assist"
"#01808","Improved handling"
"#01809","Speed Plus"
"#01810","Dev. vehicles with higher Speed"
"#01811","Accel Plus"
"#01812","Dev. vehicles with higher Accel."
"#01813","Handling Plus"
"#01814","Dev. vehicles with better Handling"
"#01815","Car Designer"
"#01816","More skill at vehicle design"
"#01817","Aero-dynamite"
"#01818","Excels at wind tunnel tests"
"#01819","Test Driver"
"#01820","Great at test drives"
"#01821","Hype"
"#01822","Creates hype, triggering aura"
"#01823","Cheer Squad"
"#01824","Makes training more successful"
"#01825","Race Analysis"
"#01826","Triples EXP from racing"
"#01827","Aromatherapy"
"#01828","Restores driver's stamina"
"#01829","Self-Taught"
"#01830","Gains EXP without help"
"#01831","Drift Expert"
"#01832","Fast drifting on turns"
"#01833","=#00005"
"#01834","Accel. UP at start"
"#01835","Slipstream"
"#01836","Speed UP when behind a rival"
"#01837","Boost Racer"
"#01838","GP Maniac"
"#01839","Hyped at GP races"
"#01840","Late Bloomer"
"#01841","Gets faster towards the end of race"
"#01842","Adrenaline"
"#01843","Chance of boost when overtaking"
"#01844","Tackle"
"#01845","Rams into rivals"
"#01846","Cold-Hater"
"#01847","Weak to cold, resistant to heat"
"#01848","Heat-Hater"
"#01849","Weak to heat, resistant to cold"
"#01850","Chaser"
"#01851","Chance of boost when overtaken"
"#01852","Nocturnal"
"#01853","Optimized for night-time races"
"#01854","Home Straight"
"#01855","Speeds up near the finish line"
"#01856","Feedback"
"#01857","More mechanics get race EXP"
"#01858","Tough"
"#01859","Reduces durability loss"
"#01860","Time Trial"
"#01861","Better qualification race time"
"#01862","Circuit"
"#01863","Skip"
"#01864","Aura"
"#01865","Cancel"
"#01866","Ability"
"#01867","Reset"
"#01868","Rankings"
"#01869","Renew"
"#01870","Items"
"#01871","<pic=flag> Race"
"#01872","Crystals"
"#01873","Adjust"
"#01874","Team Info"
"#01875","Restore"
"#01876","=#00527"
"#01877","spokesperson"
"#01878","Vehicle/part enhancement + <0>%"
"#01879","Sells a full line of tires.<br>Tires!"
"#01880","=#00521"
"#01881","manageress"
"#01882","Get Milk <co=0070c0>x <0>"
"#01883","Go for a ""Hot Springs Story."""
"#01884","=#00531"
"#01885","Facility Research Data + <0>%"
"#01886","Develops computers.<br>And sponges."
"#01887","=#00523"
"#01888","Revenue from facilities + <0>%"
"#01889","They say this helps<br>concentration."
"#01890","=#00522"
"#01891","A legit construction<br>company. Seriously."
"#01892","=#00535"
"#01893","Industrial-strength coffee."
"#01894","=#00530"
"#01895","Fuel production + <0>%"
"#01896","A bank invested in car racing. And people. But you've got to have your priorities."
"#01897","=#00526"
"#01898","Curry chain rivaling<br>the burger boys."
"#01899","=#00524"
"#01900","representative"
"#01901","Sells large, clunky<br>computers."
"#01902","=#00520"
"#01903","Chalky, fluorescent,<br>and popular with kids."
"#01904","=#00534"
"#01905","Famous Japanese<br>car company."
"#01906","=#00528"
"#01907","Get Healing Tunes CD <co=0070c0>x <0>"
"#01908","A famous record label."
"#01909","=#00533"
"#01910","Sells phones.<br>Oh, computers too."
"#01911","=#00525"
"#01912","A farm.<br>It's got cows."
"#01913","=#00537"
"#01914","chief researcher"
"#01915","Forefront leader of<br>banano-technology."
"#01916","=#00529"
"#01917","World's leading<br>supplier of milk."
"#01918","=#00540"
"#01919","Makes luxury cars<br>that break down."
"#01920","=#00519"
"#01921","Sells medicine<br>that attracts bugs."
"#01922","=#00538"
"#01923","Nobody knows<br>what they do."
"#01924","=#00532"
"#01925","Its employees<br>can't concentrate."
"#01926","=#00539"
"#01927","=#00462"
"#01928","Large oil company<br>about to get larger."
"#01929","=#00536"
"#01930","Huge hotel chain<br>with low, low prices!"
"#01931","=#00541"
"#01932","World's largest<br>insurance firm."
"#01933","Morning to ya!"
,"I'll be your secretary!"
,"It dawned on me that I love racing more than anything, so I dropped everything and rushed here."
,"<name> may be a small team, but let's do our best!"
,"If you need detailed help, open the Menu, go to System, and select Help."
,"First, we need to develop vehicles to use in races. Tap the<co=00b0f0> <co=0066cc>garage icon</co>."
"#01934","Hmm... You're getting low on funds."
,"But don't worry! I stashed a little money away when I was working on a riverboat casino."
,"This is all I have, though, so watch how you use it!"
"#01935","<0> is today! Let's get going!"
"#01936","The <0> is today, but..."
,"Our team doesn't have any drivers, so we automatically forfeit..."
,"You've got to hurry up and hire some drivers!"
"#01937","Thanks for signing me!"
,"If you put the money I brought toward research, I think we can win faster."
"#01938","Thanks for signing me!"
,"I can't believe I'm finally going to be a pro racer! It's a dream come true!"
"#01939","Thanks for signing me!"
,"I'm going to win lots of races so you won't regret the money you spent on me!"
"#01940","Thanks for signing me!"
,"We're all in the same boat--er, car, now. We'll start winning soon."
"#01941","Thanks for signing me!"
,"I'm finally part of a racing team! I'll do my very best for you!"
"#01942","Thanks for signing me!"
,"You won't regret this! I'll work hard, you'll see!"
"#01943","Thanks for signing me!"
,"I'll work hard to support the rest of the team!"
"#01944","Thanks for re-signing me! I'm looking forward to another year with the team!"
"#01945","Awesome, now that we've got an admin office, we can reach out to sponsors."
,"Tap the admin office and find us a sponsor!"
"#01946","Our contract has been canceled. We'll have to try and find a new sponsor."
"#01947","The agency found <0> potential sponsor(s). Who should we apply to?"
"#01948","I asked the agency to look for potential sponsors, but they didn't find any."
"#01949","Choose the vehicle type."
"#01950","Next, choose a drive type."
"#01951","You have started developing a car. I can't wait to see how it turns out!"
"#01952","Goodbye... Thank you for everything. I enjoyed my time here."
,"Goodbye..."
"#01953","Hello. I'm the <1> from <0>."
,"Our company will be giving you our complete support, so please try to make us proud."
"#01954","We'll start work on tuning your <co=0066cc><0> </co>right away!"
"#01955","We'll start dismantling your <co=0066cc><0></co> right away!"
"#01956","We'll start work on upgrading your <co=0066cc><0></co> right away!"
"#01957","You have entered the<co=0070c0> <0></co>. The race starts in <co=0066cc><1></co>.<co=00b0f0> </co>Gosh, I'm so excited!"
"#01958","You have entered the <0>. Back-to-back races can be tough. Watch your vehicle's durability."
,"The <co=0066cc><2></co> race is first. It starts in <co=0066cc><1></co>."
"#01959","The <0> is today, but..."
,"But you don't have any vehicles that can race, so you automatically forfeit."
,"You have to hurry and develop a vehicle!"
"#01960","You withdrew from the <0>."
"#01961","We didn't make it this time, but we'll get another chance to show our skill, for sure!"
"#01962","I'm tired... Let me rest a bit."
"#01963","Select a team to perform the <0> research."
"#01964","Select a team to develop the <0>."
"#01965","Select a team to perform the <0> tuning."
"#01966","Select a team to dismantle the <co=0066cc><0></co>."
"#01967","Parts obtained from dismantling vehicles are stored in the warehouse as kits."
,"Reassembling a vehicle from a kit reverts it to its original level. So be careful!"
,"So, now select a team to work on dismantling the <co=0066cc><0></co>."
"#01968","They're busy with another task. You'll have to wait until they're done."
"#01969","<0> research has begun."
"#01970","You sold the <0> for <1>."
"#01971","Choose a team for <0>."
"#01972","No more room. To hire <co=0066cc><0></co>, you have to cancel a current driver's contract."
"#01973","No more room. To hire <0>, you will need to dismiss someone..."
,"Who do you want to dismiss?"
"#01974","Hello. I'm the <1> from <0>."
,"Thanks to you, our company's reputation is soaring."
,"Please take this bonus with our thanks."
"#01975","Sponsorship payments from <0> companies have just come in."
"#01976","Thank you for coming, everyone. The <0> race schedule has now come to an end."
,"I'd like to thank each team for their hard work. And now, the results."
,"Having received <2> points over the course of <1> races, the world champion is..."
"#01977","<co=0066cc><name></co> will receive prize money of <co=0066cc><0></co>."
"#01978","I hope to see you all again next time. Goodbye."
"#01979","You came in #<0> and received <1> in prize money."
"#01980","You came in #<0> and #<1> and received a total of <2> in prize money."
"#01981","This race concludes the <0>. Our points put us in #<1> overall."
,"Work on upgrading vehicles and training staff, and I bet we'll be #1 next time!"
"#01982","This race concludes the <0>. Our points put us in first place!"
,"They're calling us to the awards ceremony. Let's hurry!"
"#01983","The <0> is finished! As for its performance..."
"#01984","We created a masterpiece! You've got a winner right here!"
"#01985","We managed to make it even better than the plans! I can't wait to see it race!"
"#01986","Performance is as expected, by the book."
"#01987","The performance isn't as good as I hoped, but it's within the specs..."
"#01988","I guess our skills weren't good enough. I'm sorry..."
"#01989","Do you want to hire someone else?"
"#01990","The contract with <0> has ended. Do you want to renew it for another year?"
"#01991","First, you have to choose your vehicle type, which determines its base performance."
,"At the moment you can only choose <0>, but you'll unlock more types as you play."
"#01992","First, you have to choose your vehicle type, which determines its base performance."
"#01993","Next, choose a drive type. This can also affect performance."
"#01994","Then, choose the team that will<co=0066cc> develop</co> the vehicle."
,"The higher the production capacity of a team, the better the odds of making an even better vehicle than planned!"
"#01995","Congrats! Your first vehicle is finished!"
,"Why don't you try it out in a race? Choose Race from the Menu!"
"#01996","Hello. I came to ask you a favor..."
,"In addition to a vehicle's performance, the driver's skill is also very important."
,"I'd like to start training to build up my skills. I want to become a top-class driver!"
,"Tap me and select Train to give instructions."
"#01997","Here you can view people up for hire. At the moment, there are <0>."
"#01998","The people listed here will change periodically."
,"Check back every once in a while to see if you can find someone good."
"#01999","There aren't any mechanics up for hire yet. Guess we'll have to wait."
"#02000","You can hire up to <0> mechanics, so keep hiring!"
"#02001","<0> has funds of <1>."
,"Even if they aren't the most skilled, funds for the team will still come in <co=0066cc>every day</co>."
,"Try hiring such people if you're short on cash. And who knows? They might improve in the future."
"#02002","Here you can enter races that are held at various locations."
,"If you do well, you can get prize money and your reputation will improve."
,"Go for first place!"
"#02003","Here you perform a preliminary time trial that determines your starting order in the race."
,"If you have a skilled driver, try increasing your car's performance to get a good time!"
"#02004","Here you can use Research Data to tune a vehicle type."
,"This even affects vehicles that you've already completed, so give it your best!"
"#02005","Congrats! You got a part!"
,"Tap a vehicle and try installing the part you just got."
"#02006","Our team is finally going to enter a Grand Prix! This is so exciting!"
,"You can still enter other races while participating in a GP, so feel free to try both!"
"#02007","Congratulations on your win. I'm the sponsor of the <0>."
,"Thanks to you, the race was very exciting indeed."
,"I hope you'll use this bonus to make your team even stronger in the future."
"#02008","Congratulations on winning the <0>!"
,"<co=0070c0><name></co>, here is your well-deserved prize!"
"#02009","You won't need this old <2> anymore, so let me take it away."
"#02010","I'll be looking forward to your next race!"
"#02011","If you're up for another challenge, enter the <co=0070c0><1></co>."
"#02012","Oh my! We've got applications from mechanics who saw us race!"
,"We can now hire two more mechanics. Tap the<co=0066cc> team icon</co> to hire new staff."
"#02013","You need a vehicle to enter a race."
,"Go to Garage in the Menu and tell them to start developing."
"#02014","You don't have a vehicle that can compete in a race yet. You'll have to wait a bit."
"#02015","You placed for the first time! Congrats!"
"#02016","<0> has an aura!"
,"When a staff member with an aura trains or races, they will often do better."
"#02017","This is the last race, but I won't give up. We might pull off an upset victory."
"#02018","Finally, the last race."
,"I think we're in good shape, but I won't let my guard down."
"#02019","The Grand Prix is about to begin. I'll try to start out with a bang!"
"#02020","The road conditions are terrible... I'll try cutting back on performance to avoid slipping!"
"#02021","I'm a little worried about the road conditions, so I won't take any chances..."
"#02022","The road conditions are perfect! I should be able to go even faster than usual!"
"#02023","I slept like a baby last night, so I think I'll do well today."
"#02024","<0>'s ad effectiveness has reached the maximum."
"#02025","The team's<co=0070c0> production capacity</co> has greatly increased."
,"If we constructed the <co=0066cc><0></co> now, its performance would be so much better!"
"#02026","That was amazing for a first race!"
"#02027","Not bad for a first race!"
"#02028","Not the best result, but it's just the first race..."
"#02029","It's not just a vehicle's stats that count for racing. The driver's abilities also matter a great deal!"
,"Remember that you can train team members even while carrying out repairs. Let's train them up for the next race!"
"#02030","It's not just a vehicle's stats that count for racing. The driver's abilities also matter a great deal!"
,"You can improve drivers' abilities by training them. Try it now. <co=0066cc>Tap a driver</co> and select a training routine."
"#02031","<call>, do you have a minute?"
,"I just came here to say that we're carrying out repairs to restore durability of the vehicles used in the last race."
,"But that doesn't mean our team's too busy to enter another race!"
"#02032","You have <0> vehicles, so use this screen to select one to use."
"#02033","Thanks to us, <0>'s sales have gone up! They're giving us a bonus of <1>!"
"#02034","Thanks to us, <0> and <1>'s sales have gone up!"
,"They're giving us bonuses of <2> and <3>!"
"#02035","Thanks to the advertising campaign, <co=0066cc><0></co>'s profits have gone up..."
,"...and they raised the amount of funds they'll be giving us from now on!"
"#02036","<0> is currently busy and can't be dismissed until finished."
"#02037","This is your first time making a <0>! What drive type do you want?"
"#02038","Thank you for everything. I guess I'll be watching the team on TV from now on."
,"Say goodbye to everyone for me..."
"#02039","I see... I knew this day would come sooner or later."
,"I'll find work on another team and show you what a mistake you're making! Goodbye!"
"#02040","W-What?! You're letting me go?!"
,"I guess results are all that matters in this industry... Thanks anyway..."
"#02041","So the rumors were true..."
,"But I'm grateful for the opportunity to work here. Say hello to my replacement for me."
"#02042","I guess it can't be helped. The team has to come first."
,"Thanks for the memories. It's been my dream to open a bakery, so I'll try that..."
"#02043","That couldn't have been an easy decision. I know you had no choice..."
,"Thanks for the memories. It's been my dream to open a pizza parlor, so I'll try that..."
"#02044","Thanks for everything. I won't forget my memories here as I go on to my new life..."
"#02045","What?! I thought I was just hitting my stride! Maybe you'll change your mind someday..."
"#02046","I guess my youth is over now..."
,"I think I'll write a novel about my experiences, to give hope to the younger racers."
"#02047","Thanks for everything! I know I did my best, so I don't regret a thing."
,"I'll be watching how the team does in the future!"
"#02048","We've only got one team, so let's ask <0>'s team to help us out."
"#02049","We'll have two teams in this race!"
,"During the race, touch the driver info at the bottom of the screen to switch views."
"#02050","When another user installs <co=0066cc>Grand Prix Story 2 </co>using this URL..."
,"...and they successfully start it up, you will get a bonus."
,"You might try sharing it via email or on social media sites..."
"#02051","Thank you."
"#02052","Select an app to paste."
"#02053","Hello there, <name>! Welcome to my shop."
"#02054","Hello. Would you like to buy something?"
"#02055","Thank you for your business. Come again!"
"#02056","<0>? Great choice."
"#02057","What would you like to sell?"
"#02058","The <0>? I'll buy it for <1>."
"#02059","Hello, nice to meet you! I'm the manager of a nearby <co=0066cc>automotive shop</co>."
,"I saw your team at the last race, <name>. It was incredible, my word!"
,"And I thought, what an honor it would be to have a customer like you."
,"I stock all the latest parts, so drop by and take a look. I hope to see you soon!"
"#02060","To visit the shop, simply tap <co=0066cc>Shop</co> on the right side of the screen."
"#02061","Welcome to my shop of very special and highly desirable items!"
,"Take a good look. Go on, you can even touch stuff, I don't mind."
"#02062","Heh... It's me, Wairobot. How are you?"
,"I stock very unique goods you might be interested in. Heh heh heh..."
"#02063","Heh... Welcome."
"#02064","Until we meet again. Heh..."
"#02065","Hi! I'm just a multi-millionaire who happened to be passing by."
,"I've set up a raffle just around the corner. All prizes come from my most valuable private collection."
,"Come by any time to try your luck! Well then, bye!"
"#02066","Who do you want to put in charge of designing the vehicle?"
"#02067","<call>! It will soon be time for the wind tunnel test. Who do you want to carry it out?"
"#02068","<call>, the car assembly is complete! Let's take it out for a test run and see if it needs any tweaks."
"#02069","You can trust my great design sense! The results are sure to be fabulous!"
"#02070","Yesss, I finally get to show off my know-how! I've been waiting for this moment for so long."
"#02071","<0> designs are my specialty. Sit back, relax, and just leave it to me!"
"#02072","All right! I'll take this baby out for a test run and if there's anything not in order, I'll fix 'er up!"
"#02073","I'll see if there's anything I could tweak to improve performance."
"#02074","I think there's definitely room for improvement. Leave it to me!"
"#02075","I'm a pro at test running cars. You won't regret picking me!"
"#02076","Leave all the final adjustments to me!"
"#02077","The <0>, huh. I've driven them lots of times. You've chosen the right person for the job, if I do say so myself!"
"#02078","Hello."
,"The <co=0066cc><0></co> technology upgrade is now complete. Nom nom..."
"#02080","Howdy!"
"#02081","Oh look, someone's here. Tap the person waiting by the entrance."
"#02082","Hi! You got a letter from: <0>."
"#02083","Greetings, <name>."
,"Ever since that race the other day, I've been your devoted fan!"
,"Please find enclosed a small gift. I hope you like it."
"#02084","Good luck with your next race! I'll be there to watch it."
"#02085","Hi, It's me… a random <co=0066cc><0></co>. I come to all your races, since I know you'll make it worth every penny!"
,"Your team's driving at the last race was out of this world. It blew my mind!"
,"I don't want to be just another forgettable fan among thousands, so I decided to send you a gift. Maybe it will come in handy?"
"#02086","Can't wait to see your next race! Best of luck!"
"#02087","Hi! You got a package from a fan."
"#02088","<call>, we don't have enough fuel to last us for the whole race."
,"When low on fuel, the vehicle can switch to eco-mode, but it will be very slow."
"#02089","<call>, there's not a drop of fuel left in the tank..."
,"The vehicle can't run without fuel. The only options are to withdraw from the race, or to purchase more fuel."
"#02090","<call>, there's not a drop of fuel left in the tank."
"#02091","<call>, a mechanic has finished training."
"#02092","Scroll on the screen to select where to build. Tap and hold the building to adjust which way it will be facing."
"#02093","Time to lay down a <0>! Tap a starting point and drag all the way to where you want the <0> to end."
"#02094","<call>, we have a guest."
"#02095","We got an item we can use to enhance our vehicles."
,"<co=0066cc>Tap a vehicle</co> and select Enhance."
"#02096","We're using up fuel quite fast. It may be a good idea to build a <co=0070c0>refinery</co> and make our own fuel!"
,"Open the menu and select Build."
"#02097","The refinery is now under construction. It will take some time before it's ready..."
,"...or we could give the builders GP Medals to have them complete it at once!"
,"I actually found some GP Medal on the bottom of a drawer. Here, you can have them."
"#02098","The refinery is ready! It will now start producing fuel."
,"It normally takes a while before fuel's ready for collection, but this time you can get some immediately. <co=0066cc>Tap</co> it to collect!"
"#02099","Yes, just like that. Let's put it to good use."
"#02100","The <co=0066cc><0></co> research has started."
,"To speed up or cancel the research, tap the team icon."
"#02101","Hello! I work for Automobiles United."
,"You're steadily making a name for yourself in the racing world."
,"But you won't be able to enter more prestigious races without appropriate licenses."
,"Try to get the <co=0066cc><0></co> for a start."
"#02102","You will have to pass a test for it. Open the menu, go to Race and select <co=0070c0>New License</co>."
"#02103","Howdy. I'm Dr. Chimpan."
,"I research various technologies with applications in car racing. Now, if I only had a <co=0070c0>lab</co>..."
,"Raising your tech level will let you obtain new parts, and it will also boost performance, you know."
,"So please do consider building a lab for me. Thanks!"
"#02104","I heard you've constructed a lab for me. Well done, you!"
,"There's something I forgot to tell you. I need inspiration to work on raising your tech."
,"And I get inspiration from...bananas, of course."
,"So, please supply me with bananas, okay?"
"#02105","Wouldn't it be cool to have a sponsor? But to contact them, we'll need an <co=0066cc>admin office</co>."
"#02106","<call>, we've got a guest."
"#02107","Hello! Thanks for playing!"
,"Would you mind reviewing Grand Prix Story 2?"
,"I have a special deal for you. Review the game now to get 30 GP Medals! Sounds good, right?"
"#02108","Thank you!"
"#02109","I see... I'll be back later then."
"#02110","Welcome back! You've fulfilled the requirements for the 2-Day Consecutive Login bonus!"
,"Keep it up for 3 or 4 days, or longer, to get hard-to-find medals!"
,"Try and log in to the game every day."
"#02111","I never thought I would be able to face off against the famous <name>... I hope to learn something!"
"#02112","I'm <0>. Let's fight fair and make this a good match!"
"#02113","Heh... I won't go easy on you, even if you are lower in rank!"
"#02114","When you restart a race, fuel, nitro, and durability are restored to what they were at the start."
,"It's like rewinding time, sort of. But that also means that the EXP you had accumulated will be lost."
"#02115","We'll be restarting the race. If you want to pick a different vehicle for it, now's the time to do it!"
"#02116","Drivers' abilities can be improved by training."
,"If you want to know more about each ability, check out Hints in the staff training menu."
,"I think a good stat to work on first is <co=0066cc>Agility</co>."
"#02117","Driving superfast cars puts a lot of physical strain on the drivers."
,"Raising their<co=0066cc> Strength</co> will help them cope with it, and they'll be able to drive faster."
,"It also helps them when test running new vehicles."
"#02118","To accelerate smoothly, drivers need to be quick about changing gear."
,"High <co=0066cc>Agility</co> enables them to do just that. It's worth to increase this stat to reach top speed faster."
,"And it also makes repairs quicker. Neat, huh?"
"#02119","Cornering at high speed requires well-timed braking and accelerating to keep the vehicle's weight balanced."
,"The stat which helps with this is <co=0066cc>Tech</co>."
,"Besides enabling fast cornering, it also contributes to teams' production capacity."
"#02120","Team members with high <co=0066cc>IQ</co> get more experience points and level up faster."
,"They're also better at designing new vehicles."
"#02121","The <co=0066cc>Analysis</co> stat affects the amount of Research Data collected when dismantling vehicles."
,"It also improves results of wind tunnel testing."
"#02122","<co=0066cc>Appeal</co> makes getting fans easier."
,"Sponsors are more pleased by charismatic teams, too."
"#02123","<0>'s skill <co=0066cc><1></co> has activated, increasing EXP!"
"#02124","New drive type unlocked: <co=0066cc><0></co>."
,"Performance of newly developed vehicles will be improved."
"#02125","You acquired <pic=icon,80> nitro gas!"
,"Burning nitro gives you an amazing speed boost, so fill up a vehicle's tank with it."
,"To do that, select a car and tap the <co=0066cc>nitro icon</co>."
"#02126","The <co=0066cc><0></co> has a very high dismantling value."
,"If you scrap it, you'll probably get a lot of Research Data."
,"Find it in the Garage and select <co=0066cc>Dismantle</co>."
